
 Shelby County, AL Property Tax information

 Tax description , Taxable value , , Millage rate , , Tax amount 
Current tax, $10900 , x , 54.0000‰ , = , $589 
&nbsp
Base tax, $11660 , x , 54.0000‰ , = , $630 

 Cochise County, AZ Property Tax information

 Tax description , Assessed value , , Tax rate , , Tax amount 
Primary tax, $15271 , x , 9.5027% , = , $1451 
Secondary tax, $15271 , x , 1.4420% , = , $220 
Property tax, , , , = , $1671 

 Maricopa County, AZ Property Tax information

 Tax description , Assessed value , , Tax rate , , Tax amount 
Primary tax, $11100 , x , 9.4488 , = , $1049 
Secondary tax, $11100 , x , 5.8026 , = , $644 
Property tax, , , , = , $1693 

 Navajo County, AZ Property Tax information

 Tax description , Assessed value , , Tax rate , , Tax amount 
Primary tax, $8997 , x , 7.8738 , = , $708 
Secondary tax, $11711 , x , 3.4943 , = , $409 
Property tax, , , , = , $1118 

 Pinal County, AZ Property Tax information

 Tax description , Assessed value , , Tax rate , , Tax amount 
Primary tax, $10504 , x , 9.7962 , = , $1029 
Secondary tax, $16518 , x , 5.4918 , = , $907 
Property tax, , , , = , $1936 

 Crittenden County, AR Property Tax information

 Tax description , Assessed value , , Millage rate , , Tax amount 
Rural, $29430 , x , 60.2000 , = , $1771.69 
Base tax, $29430 , x , 60.2000 , = , $1772 

 Faulkner County, AR Property Tax information

 Tax description , Assessed value , , Millage rate , , Tax amount 
Conway City, $31640 , x , 50.6000 , = , $1600.98 
Property tax, $31640 , x , 50.6000 , = , $1601 

 Lonoke County, AR Property Tax information

 Tax description , Assessed value , , Millage rate , , Tax amount 
Cabot City, $28720 , x , 49.4000 , = , $1418.77 
Base tax, $28720 , x , 49.4000 , = , $1419 

 Pulaski County, AR Property Tax information

 Tax description , Assessed value , , Millage rate , , Tax amount 
County Road Fund, $1938 , x , 1.4500 , = , $2.81 
Pulaski County, $1938 , x , 5.0000 , = , $9.69 
County Library, $1938 , x , 1.6000 , = , $3.10 
County Hospital, $1938 , x , 0.6000 , = , $1.16 
Pulaski School District, $1938 , x , 40.7000 , = , $78.88 
Sherwood Road, $1938 , x , 1.4500 , = , $2.81 
